Family,Binomial,Method,Injection,Dosage mg/kg,Tested on
Viperidae,Crotalus atrox,LD50,IV,0.143,Pigeon
Elapidae,Naja kaouthia,LD50,IP,0.148,Mouse
Elapidae,Aipysurus laevis,LD50,IV,0.15,Mouse
Elapidae,Bungarus fasciatus,LD50,IP,0.15,Mouse
Elapidae,Naja atra,LDLo,IP,0.15,Guinea Pig
Elapidae,Naja atra,LDLo,SC,0.15,Guinea Pig
Elapidae,Naja naja,LDLo,IV,0.15,Dog
Elapidae,Oxyuranus scutellatus,LD50,IV,0.155,Mouse
Elapidae,Acanthophis antarcticus,LD50,IP,0.16,Mouse
Elapidae,Laticauda laticaudata,LD50,IV,0.16,Mouse
Elapidae,Bungarus multicinctus,LD50,SC,0.16,Mouse
Elapidae,Bungarus multicinctus,LD50,IM,0.16,Mouse
Elapidae,Bungarus multicinctus,LD50,unknown,0.16,Mouse
Elapidae,Naja annulifera,LD50,IP,0.16,Mouse
Elapidae,Hydrophis stricticollis,LD50,SC,0.164,Mouse
Elapidae,Hydrophis schistosus,LD50,SC,0.164,Mouse
Elapidae,Hydrophis stokesii,LD50,IV,0.164,Mouse
Viperidae,Crotalus lepidus,LD50,IP,0.166,Mouse
Elapidae,Naja annulata,LD50,IV,0.167,Mouse
Elapidae,Laticauda laticaudata,LD50,IM,0.17,Mouse
Elapidae,Bungarus fasciatus,LD50,IV,0.17,Mouse
Viperidae,Crotalus oreganus,LD50,IV,0.171,Pigeon
Viperidae,Crotalus helleri,LDLo,IV,0.171,Pigeon
Viperidae,Crotalus oreganus,LDLo,IV,0.171,Pigeon
Viperidae,Vipera aspis,LDLo,IV,0.175,Rabbit
Viperidae,Daboia siamensis,LD50,IV,0.178,Mouse
Elapidae,Laticauda laticaudata,LD50,SC,0.179,Mouse
Viperidae,Agkistrodon piscivorus,LD50,IP,0.18,Mouse
Viperidae,Bitis caudalis,LD50,IP,0.18,Mouse
Elapidae,Hydrophis fasciatus,LDLo,IV,0.18,Mouse
Elapidae,Naja oxiana,LD50,IV,0.18,Rat
Elapidae,Naja naja,LD50,IV,0.18,Rat
Viperidae,Crotalus mitchellii,LD50,IP,0.18,Mouse
Viperidae,Montivipera raddei,LD50,IV,0.1935,Mouse
